,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush
umbrella,103754,1775,6597,1615,75,672,236,1018,3802,1905,117,122,57,2138,1128,77,386,406,89,275,251,9,59,133,2132,93364,8340,638,430,193,59,22,557,2808,73,56,352,871,155,1538,333,1009,76,61,56,437,1313,310,117,336,37,160,78,92,79,158,19196,94,2431,105,2486,14,126,70,15,51,18,432,13,21,2,32,23,705,524,297,35,156,0,20
handbag,89497,2288,8622,1634,190,1785,763,1288,399,3228,247,226,177,1765,726,195,511,434,182,180,331,5,34,142,4630,8340,13790,1224,4641,165,114,26,210,1470,94,50,526,247,153,2498,812,1700,169,251,202,823,1106,325,236,379,39,130,157,296,422,238,3752,389,1181,334,1097,89,586,397,88,414,128,1832,78,131,12,231,213,2225,889,337,70,367,10,90
tie,42183,166,1232,185,61,132,78,196,45,257,9,19,9,341,76,59,96,411,149,79,32,0,8,5,336,638,1224,22922,336,41,77,6,211,18,105,112,121,25,272,1339,1627,2136,274,416,98,444,90,41,82,5,7,24,31,86,84,719,4158,224,553,106,1211,19,259,214,26,149,64,579,20,42,1,47,71,1649,243,218,88,692,6,46
suitcase,27990,393,2427,215,257,275,417,1034,251,487,37,17,35,540,87,315,184,61,32,7,29,3,3,6,4510,430,4641,336,39656,12,5,39,78,20,5,5,79,36,5,645,57,324,4,20,21,151,97,49,29,21,2,12,2,11,9,24,1868,177,564,381,224,45,808,171,39,86,64,246,20,56,3,39,95,1528,210,85,18,109,3,8
frisbee,12783,71,1341,25,6,13,4,126,93,29,11,13,13,298,115,8,790,14,34,9,25,4,0,0,352,193,165,41,12,1982,2,2,189,70,25,37,19,28,26,187,6,108,4,10,2,28,16,1,1,5,0,15,19,2,20,12,507,17,75,7,91,1,10,14,3,11,2,49,0,3,0,1,9,46,25,11,0,5,0,0
skis,45585,12,572,12,12,41,7,93,71,91,4,26,3,155,38,0,113,41,0,17,0,1,0,0,3062,59,114,77,5,2,19856,2263,14,101,7,3,38,18,5,39,1,5,1,6,0,6,7,7,0,9,0,0,0,0,0,8,151,2,32,0,12,0,4,3,0,5,4,44,0,0,0,0,4,0,12,0,0,41,0,1
snowboard,13315,11,222,9,5,3,3,38,16,18,1,6,0,51,7,1,17,1,0,0,0,0,0,0,499,22,26,6,39,2,2263,3566,13,63,8,1,55,71,1,66,0,3,0,0,0,0,22,0,2,0,0,0,0,0,0,0,65,10,12,3,12,0,4,0,0,0,1,10,0,0,0,0,1,11,1,1,0,3,0,0
sports ball,36845,131,1736,101,14,30,9,176,205,122,19,21,14,911,109,47,183,70,9,30,93,23,5,5,473,557,210,211,78,189,14,13,18650,226,2169,2052,87,77,5617,443,28,137,7,32,11,69,64,104,4,45,2,9,13,7,12,33,4197,65,201,33,115,1,78,23,23,60,27,83,7,12,0,5,14,167,108,26,12,149,2,11
kite,97236,716,5554,150,118,171,6,1112,1210,167,8,40,1,466,1123,6,365,74,110,105,10,0,5,4,1335,2808,1470,18,20,70,101,63,226,107698,21,25,71,959,13,150,19,69,0,3,5,22,2,3,3,1,0,0,11,0,0,1,1539,3,60,4,70,2,5,3,0,2,3,44,1,1,0,2,1,46,44,14,2,92,0,3
baseball bat,26443,42,657,9,5,6,0,53,36,28,14,4,0,789,12,3,26,27,10,12,8,0,0,4,244,73,94,105,5,25,7,8,2169,21,4096,2861,18,8,67,307,10,74,0,5,0,14,13,4,1,9,1,0,48,6,4,2,2351,8,19,3,23,0,31,3,0,4,13,30,1,3,0,4,4,46,20,2,1,21,0,0
baseball glove,28156,32,644,14,6,6,1,57,10,27,6,9,0,504,7,4,16,2,0,0,2,0,0,4,107,56,50,112,5,37,3,1,2052,25,2861,2808,10,1,22,162,0,57,0,0,0,3,4,1,0,1,0,2,0,7,0,1,2281,1,8,0,14,1,9,2,0,1,0,12,0,0,0,0,0,5,11,0,3,1,0,0
skateboard,34955,733,3452,121,21,79,35,295,119,406,58,45,20,978,103,8,101,23,1,3,11,0,0,9,1022,352,526,121,79,19,38,55,87,71,18,10,8222,52,22,288,0,79,0,1,2,16,23,2,3,0,1,0,1,1,3,9,381,24,183,8,75,0,25,9,0,16,1,103,0,3,0,3,13,49,32,2,0,9,0,0
surfboard,30495,114,912,27,33,21,22,148,1469,34,14,10,1,137,389,2,221,8,0,15,6,0,4,1,346,871,247,25,36,28,18,71,77,959,8,1,52,19084,1,133,9,68,1,9,0,5,14,3,3,0,0,0,0,3,6,4,711,8,100,18,57,3,7,4,3,5,2,27,10,0,0,7,5,33,14,14,0,9,0,0
tennis racket,24776,43,744,13,4,12,3,52,6,90,2,11,5,638,8,13,38,17,0,3,11,0,0,4,310,155,153,272,5,26,5,1,5617,13,67,22,22,1,6114,375,3,46,0,0,0,6,3,6,0,5,0,1,1,0,0,0,4006,9,213,6,13,0,6,6,1,10,3,70,2,4,0,1,8,53,125,6,1,11,0,6
bottle,59549,756,1368,306,33,110,54,404,486,158,44,53,12,1119,291,1142,636,79,39,105,24,16,3,15,1370,1538,2498,1339,645,187,39,66,443,150,307,162,288,133,375,175792,18625,29960,3291,10113,6241,21374,4047,3111,3506,3568,1038,2108,1437,4282,2440,2822,20674,2065,5048,847,13549,2033,2610,1864,630,2039,1049,2019,2657,6203,488,8383,7049,12239,2140,4725,721,553,152,2485
wine glass,31214,39,376,28,0,3,4,16,44,21,2,4,5,115,42,69,72,16,2,1,0,0,0,0,156,333,812,1627,57,6,1,0,28,19,10,0,0,9,3,18625,40422,11859,3310,3529,1798,5428,177,287,706,271,272,726,123,1315,261,1246,13013,833,1887,104,8300,15,524,346,43,343,134,584,287,666,43,641,475,3052,456,2109,87,80,6,17
cup,61791,323,1305,155,24,34,11,190,232,110,48,28,35,641,210,612,433,56,53,25,4,3,2,11,546,1009,1700,2136,324,108,5,3,137,69,74,57,79,68,46,29960,11859,65590,6917,9373,8782,24638,1689,1231,4287,2182,1447,2346,1691,5926,4203,4721,25381,2305,4023,535,18605,619,2440,2598,987,1951,1559,2495,1356,2878,270,3826,1854,11136,1515,4895,561,799,64,1392
fork,9537,20,188,10,0,0,1,10,57,6,0,6,1,70,22,38,40,0,0,4,12,0,0,0,60,76,169,274,4,4,1,0,7,0,0,0,0,1,0,3291,3310,6917,5640,3684,2607,4428,373,379,1683,364,1361,2017,386,2100,360,2187,4083,166,423,24,5210,5,110,91,19,56,52,302,48,106,5,55,65,539,98,353,43,30,0,27
knife,12151,44,171,10,2,4,0,16,59,3,4,4,0,65,35,93,76,2,3,2,4,0,0,0,70,61,251,416,20,10,6,0,32,3,5,0,1,9,0,10113,3529,9373,3684,18536,4051,7720,639,954,1686,872,1001,2225,343,2725,557,2377,5566,189,1065,33,5941,34,259,177,41,100,86,413,959,2175,205,1701,1013,1254,395,761,380,54,5,84
spoon,8372,30,127,11,0,4,0,17,20,11,2,1,0,83,38,67,65,7,1,3,10,0,0,0,48,56,202,98,21,2,0,0,11,5,0,0,2,0,0,6241,1798,8782,2607,4051,9310,11650,634,588,1557,486,1717,2947,518,812,759,1833,3647,142,565,34,4407,22,169,151,42,73,100,239,556,1670,95,995,597,1004,329,561,165,68,1,276
bowl,27591,168,650,68,1,23,5,85,267,17,14,6,4,279,273,563,467,49,57,81,6,5,13,16,224,437,823,444,151,28,6,0,69,22,14,3,16,5,6,21374,5428,24638,4428,7720,11650,48764,4130,3954,3666,6010,6253,9600,1556,2628,2419,3651,12591,1266,3127,262,12451,265,1015,478,161,681,226,717,1273,3900,242,3027,2032,6071,954,3857,275,403,23,217
banana,23600,794,756,613,16,75,15,436,448,46,12,6,0,199,140,97,135,7,1,3,26,5,2,0,185,1313,1106,90,97,16,7,22,64,2,13,4,23,14,3,4047,177,1689,373,639,634,4130,103840,8185,340,7767,404,1493,96,117,276,587,1649,85,577,53,1978,1,137,93,31,36,45,118,94,256,19,159,169,746,221,154,18,93,0,14
apple,6613,86,236,109,0,12,11,149,104,58,4,5,0,74,225,109,61,10,6,4,23,6,0,0,131,310,325,41,49,1,7,0,104,3,4,1,2,3,6,3111,287,1231,379,954,588,3954,8185,43486,314,12838,985,2436,55,169,214,310,1195,110,568,59,1884,6,112,59,19,44,25,78,195,336,40,352,257,675,166,442,54,98,0,7
sandwich,5593,58,210,9,0,7,2,13,34,24,4,4,2,62,7,17,9,2,0,0,4,0,0,0,73,117,236,82,29,1,0,2,4,3,1,0,3,3,0,3506,706,4287,1683,1686,1557,3666,340,314,12492,611,937,1360,868,746,1099,1320,1892,66,327,24,4247,0,130,74,26,42,83,138,34,152,12,90,79,461,78,176,29,31,0,7
orange,6804,123,256,39,1,17,13,90,37,16,5,0,0,54,41,80,54,0,4,18,3,17,0,2,75,336,379,5,21,5,9,0,45,1,9,1,0,0,5,3568,271,2182,364,872,486,6010,7767,12838,611,56548,1040,2772,70,215,830,916,1488,119,808,64,2418,5,126,67,11,70,24,72,147,318,44,269,268,639,206,610,45,60,0,3
broccoli,1933,13,44,8,0,0,0,18,8,5,0,0,0,26,8,29,10,4,1,3,10,1,11,1,5,37,39,7,2,0,0,0,2,0,1,0,1,0,0,1038,272,1447,1361,1001,1717,6253,404,985,937,1040,57006,17491,197,1523,124,318,669,18,161,6,3853,1,38,22,8,12,21,48,13,230,3,76,18,231,18,65,12,28,0,5
carrot,3684,23,112,9,0,6,0,83,4,11,0,5,0,23,11,88,58,6,25,3,24,29,0,13,37,160,130,24,12,15,0,0,9,0,0,2,0,0,1,2108,726,2346,2017,2225,2947,9600,1493,2436,1360,2772,17491,73852,859,602,170,644,830,77,209,21,4732,2,55,53,10,40,56,63,39,240,10,203,77,240,39,94,82,57,1,7
hot dog,5773,31,284,5,1,9,3,20,28,34,0,0,2,82,8,5,17,0,0,0,1,0,0,0,53,78,157,31,2,19,0,0,13,11,48,0,1,0,1,1437,123,1691,386,343,518,1556,96,55,868,70,197,859,18186,199,424,214,999,13,162,6,1592,2,29,12,8,1,22,84,25,352,3,51,59,149,16,34,7,7,0,1
pizza,13549,48,413,27,1,8,1,24,39,29,3,6,2,87,55,20,39,3,0,3,1,0,0,2,110,92,296,86,11,2,0,0,7,0,6,7,1,3,0,4282,1315,5926,2100,2725,812,2628,117,169,746,215,1523,602,199,13022,430,381,4254,171,383,27,5237,5,150,71,16,91,52,259,95,599,20,110,123,866,127,134,39,49,1,5
donut,10425,49,621,12,0,26,2,49,2,96,2,1,1,96,4,20,57,28,0,13,0,1,0,1,80,79,422,84,9,20,0,0,12,0,4,0,3,6,0,2440,261,4203,360,557,759,2419,276,214,1099,830,124,170,424,430,105664,3432,2349,80,275,56,3253,81,403,155,52,67,115,103,66,377,0,127,210,1048,36,300,50,167,14,17
cake,11900,16,141,15,3,1,14,15,5,8,10,1,3,52,53,29,129,80,18,1,4,2,3,0,71,158,238,719,24,12,8,0,33,1,2,1,9,4,0,2822,1246,4721,2187,2377,1833,3651,587,310,1320,916,318,644,214,381,3432,30094,3137,169,460,32,5568,21,186,68,28,52,61,203,118,498,13,108,148,1372,136,472,85,389,0,43
chair,187557,1153,4551,918,173,432,238,750,2357,418,117,88,50,3557,1032,1282,1456,328,162,147,128,26,12,20,2629,19196,3752,4158,1868,507,151,65,4197,1539,2351,2281,381,711,4006,20674,13013,25381,4083,5566,3647,12591,1649,1195,1892,1488,669,830,999,4254,2349,3137,189198,8026,11679,2099,31985,281,7091,8102,1960,5074,2778,3266,1320,2035,167,1883,2363,24986,3067,7532,365,1676,36,182
couch,8737,55,95,8,3,4,4,8,19,0,3,4,3,74,43,709,738,18,11,4,0,1,1,0,267,94,389,224,177,17,2,10,65,3,8,1,24,8,9,2065,833,2305,166,189,142,1266,85,110,66,119,18,77,13,171,80,169,8026,5546,3148,802,2276,26,2156,1102,177,5172,270,458,163,176,14,191,259,11771,659,2542,32,492,12,49
potted plant,18699,805,3791,719,46,330,125,549,353,845,164,157,90,1550,323,579,577,250,52,48,41,9,25,538,440,2431,1181,553,564,75,32,12,201,60,19,8,183,100,213,5048,1887,4023,423,1065,565,3127,577,568,327,808,161,209,162,383,275,460,11679,3148,22946,478,4012,394,1497,629,217,1365,340,373,340,761,63,1249,618,8054,974,7685,111,685,3,110
bed,3595,29,64,6,8,1,1,11,3,7,2,7,1,59,85,935,633,11,3,10,3,3,2,0,294,105,334,106,381,7,0,3,33,4,3,0,8,18,6,847,104,535,24,33,34,262,53,59,24,64,6,21,6,27,56,32,2099,802,478,2952,441,52,678,573,126,566,220,282,51,51,6,137,86,4527,353,491,45,856,11,61
dining table,41810,333,1213,192,6,49,29,126,344,122,20,11,11,1488,295,346,358,44,34,31,20,7,1,2,493,2486,1097,1211,224,91,12,12,115,70,23,14,75,57,13,13549,8300,18605,5210,5941,4407,12451,1978,1884,4247,2418,3853,4732,1592,5237,3253,5568,31985,2276,4012,441,11300,45,1613,1735,342,1396,558,1429,570,1084,95,913,957,7388,908,3363,276,488,7,80
toilet,1113,13,209,9,0,0,2,53,10,21,3,4,5,37,6,231,35,2,1,0,0,0,0,0,26,14,89,19,45,1,0,0,1,2,0,1,0,3,0,2033,15,619,5,34,22,265,1,6,0,5,1,2,2,5,81,21,281,26,394,52,45,7350,109,14,3,41,14,50,17,28,3,3192,76,361,47,239,9,34,51,460
tv,10506,76,306,38,11,27,21,33,39,72,6,13,2,96,58,549,263,21,26,17,3,4,0,1,403,126,586,259,808,10,4,4,78,5,31,9,25,7,6,2610,524,2440,110,259,169,1015,137,112,130,126,38,55,29,150,403,186,7091,2156,1497,678,1613,109,4584,2545,2306,2447,3329,1102,165,214,14,326,340,11841,581,1089,112,293,15,47
laptop,12487,52,212,17,9,7,4,26,20,27,0,2,2,123,35,521,166,2,6,11,1,0,0,5,373,70,397,214,171,14,3,0,23,3,3,2,9,4,6,1864,346,2598,91,177,151,478,93,59,74,67,22,53,12,71,155,68,8102,1102,629,573,1735,14,2545,6964,2045,867,3684,1461,88,92,4,93,153,7485,274,358,109,116,3,16
mouse,1710,20,82,0,2,2,1,4,13,4,1,2,0,8,18,214,57,5,0,0,0,1,0,4,83,15,88,26,39,3,0,0,23,0,0,0,0,3,1,630,43,987,19,41,42,161,31,19,26,11,8,10,8,16,52,28,1960,177,217,126,342,3,2306,2045,1762,418,3181,769,16,15,3,23,46,4651,94,110,79,85,5,10
remote,14798,44,62,4,8,3,1,9,9,10,2,3,0,59,30,365,306,10,5,11,0,1,0,0,299,51,414,149,86,11,5,0,60,2,4,1,16,5,10,2039,343,1951,56,100,73,681,36,44,42,70,12,40,1,91,67,52,5074,5172,1365,566,1396,41,2447,867,418,12128,583,854,74,81,5,91,205,9252,435,763,50,223,8,22
keyboard,3040,38,103,6,3,2,1,8,1,7,0,1,0,17,29,348,103,6,12,0,0,1,0,0,106,18,128,64,64,2,4,1,27,3,13,0,1,2,3,1049,134,1559,52,86,100,226,45,25,83,24,21,56,22,52,115,61,2778,270,340,220,558,14,3329,3684,3181,583,2692,1148,33,26,4,29,86,6537,137,176,136,103,4,21
cell phone,20528,294,1346,150,15,79,63,177,90,242,37,18,17,466,84,141,141,52,40,23,49,1,8,30,665,432,1832,579,246,49,44,10,83,44,30,12,103,27,70,2019,584,2495,302,413,239,717,118,78,138,72,48,63,84,259,103,203,3266,458,373,282,1429,50,1102,1461,769,854,1148,6700,73,91,6,138,132,3445,250,165,108,135,10,67
microwave,1100,6,33,2,4,2,0,12,0,4,2,0,1,5,11,48,36,9,0,0,1,5,0,0,21,13,78,20,20,0,0,0,7,1,1,0,0,10,2,2657,287,1356,48,959,556,1273,94,195,34,147,13,39,25,95,66,118,1320,163,340,51,570,17,165,88,16,74,33,73,932,1289,120,905,846,736,184,327,26,41,1,16
oven,2754,17,43,0,0,1,0,9,0,6,2,1,0,30,28,75,91,6,0,1,0,0,0,0,37,21,131,42,56,3,0,0,12,1,3,0,3,0,4,6203,666,2878,106,2175,1670,3900,256,336,152,318,230,240,352,599,377,498,2035,176,761,51,1084,28,214,92,15,81,26,91,1289,2146,184,1917,1550,941,391,603,79,20,4,32
toaster,117,6,4,0,0,1,0,0,0,1,0,0,0,4,2,1,2,0,0,0,0,0,0,0,2,2,12,1,3,0,0,0,0,0,0,0,0,0,0,488,43,270,5,205,95,242,19,40,12,44,3,10,3,20,0,13,167,14,63,6,95,3,14,4,3,5,4,6,120,184,12,188,89,71,30,55,5,1,1,3
sink,2461,14,40,0,9,1,5,5,8,3,1,0,1,37,24,291,72,5,1,0,0,0,0,3,73,32,231,47,39,1,0,0,5,2,4,0,3,7,1,8383,641,3826,55,1701,995,3027,159,352,90,269,76,203,51,110,127,108,1883,191,1249,137,913,3192,326,93,23,91,29,138,905,1917,188,4956,1151,795,310,1009,90,30,149,1379
refrigerator,2865,33,125,13,9,5,5,38,5,18,2,3,4,26,10,125,88,4,0,7,2,3,0,0,78,23,213,71,95,9,4,1,14,1,4,0,13,5,8,7049,475,1854,65,1013,597,2032,169,257,79,268,18,77,59,123,210,148,2363,259,618,86,957,76,340,153,46,205,86,132,846,1550,89,1151,2172,1316,271,448,49,56,6,54
book,26590,420,688,96,25,15,26,45,94,71,8,17,18,497,373,3809,1818,110,21,15,21,37,1,0,1459,705,2225,1649,1528,46,0,11,167,46,46,5,49,33,53,12239,3052,11136,539,1254,1004,6071,746,675,461,639,231,240,149,866,1048,1372,24986,11771,8054,4527,7388,361,11841,7485,4651,9252,6537,3445,736,941,71,795,1316,311044,4029,7368,771,3615,64,545
clock,16029,314,3102,190,14,407,165,312,290,1041,40,66,15,459,469,109,104,69,72,10,13,5,0,9,374,524,889,243,210,25,12,1,108,44,20,11,32,14,125,2140,456,1515,98,395,329,954,221,166,78,206,18,39,16,127,36,136,3067,659,974,353,908,47,581,274,94,435,137,250,184,391,30,310,271,4029,10882,828,57,112,5,41
